0.002,0.357441,0.169691,-0.026198,0.419189,0.363689,-0.113423,-0.0193079,0.420561,1.74939e-20,-0.226356,-0.000242559,0.0978618,-0.00223556,0.574443,-0.00366274,0.264669,0.365924,-0.687866,-0.0156452,0.155891,0.22606,0.689063,-0.176206,-0.208578,0,0.0188495,0,0
0.004,-0.220025,0.00807903,0.074733,0.33471,-0.223281,0.259674,0.0673039,0.333865,-4.01927e-19,-0.226123,-0.000244566,0.0977581,0.00102021,0.285382,0.00376437,0.26541,-0.224301,-0.0257075,0.0635395,0.068455,0.444002,0.432847,0.168405,-0.174679,0,0.0376988,0,0
0.006,-0.465461,-0.0255561,-0.000899763,0.368729,-0.468384,-0.111071,-0.000527668,0.368799,-4.01927e-19,-0.226123,-0.000244566,0.0977581,0.00394299,0.314349,0.00339228,0.26534,-0.472327,-0.42542,-0.00391995,0.103459,-0.421853,0.673838,0.204798,-0.168756,0,0.0565475,0,0
0.008,0.11496,0.0137009,-0.188273,0.367447,0.115259,-0.0819524,-0.18791,0.368881,-3.92614e-19,-0.225971,-0.000244566,0.0979102,0.00364354,0.334759,0.00302983,0.264057,0.111616,-0.416712,-0.19094,0.104824,0.226582,0.422078,0.197581,-0.123534,0,0.0753954,0,0
0.01,0.144539,-0.0733117,0.0491723,0.316946,0.14783,0.0471315,0.0557493,0.316211,-8.12428e-19,-0.225744,-0.000246378,0.0978066,0.000352372,0.1203,-0.00354892,0.264688,0.147478,-0.0731687,0.0592982,0.0515233,0.253845,0.525422,0.123138,-0.157592,0,0.0942422,0,0
0.012,0.174659,0.0624921,-0.112428,0.351246,0.17741,-0.357984,-0.119592,0.350986,-4.01927e-19,-0.226123,-0.000244566,0.0977581,-0.00239883,0.42731,0.00361603,0.264899,0.179809,-0.785294,-0.123208,0.0860868,0.102169,0.521452,0.123731,-0.208856,0,0.113088,0,0
0.014,-0.220242,0.154687,-0.0376916,0.35145,-0.223446,0.0308538,-0.0371696,0.351247,-4.01927e-19,-0.226123,-0.000244566,0.0977581,0.000805213,0.419212,0.00309396,0.265103,-0.224251,-0.388358,-0.0402635,0.0861437,-0.0768795,0.382942,0.0306565,-0.123621,0,0.131932,0,0
0.016,0.175,0.166425,-0.0383104,0.40146,0.177862,0.0229068,-0.0376928,0.402736,-3.92614e-19,-0.225971,-0.000244566,0.0979102,-0.00205674,0.412109,0.00247632,0.26398,0.179919,-0.389202,-0.0401691,0.138756,-0.104772,0.630534,0.1993,-0.100401,0,0.150774,0,0
0.018,-0.219958,0.384101,-0.0385624,0.266933,-0.223104,-0.202466,-0.0383077,0.264858,-1.50005e-20,-0.226886,-0.000240744,0.0976612,0.00108935,0.828147,0.00222544,0.265806,-0.224194,-1.03061,-0.0405332,-0.000947733,0.226305,0.513359,0.124862,-0.197709,0,0.169613,0,0
0.02,-0.0373415,0.475527,-0.0387425,0.386902,-0.037342,0.377387,-0.0385636,0.386244,-1.50005e-20,-0.226886,-0.000240744,0.0976612,0.00108982,0.737836,0.00204654,0.266465,-0.0384318,-0.360448,-0.0406101,0.119779,-0.105202,0.981066,0.0210445,-0.207179,0,0.188451,0,0
0.022,-0.0375576,0.380545,0.141932,0.303602,-0.0373419,0.0693372,0.148268,0.301481,-4.78879e-20,-0.227424,-0.000238738,0.0974606,0.000874084,0.84122,-0.00428703,0.268385,-0.038216,-0.771883,0.152555,0.0330958,0.417083,0.253582,0.213118,-0.124508,0,0.207286,0,0
0.024,-0.253169,0.579836,-0.100718,0.338273,-0.253046,0.444759,-0.102093,0.337691,-4.78879e-20,-0.227424,-0.000238738,0.0974606,0.000750551,0.75018,-0.00291213,0.268967,-0.253796,-0.305421,-0.0991809,0.0687238,-0.0909515,0.58994,0.124554,-0.157978,0,0.226118,0,0
0.026,0.14485,0.436785,-0.0244366,0.338477,0.144935,0.272267,-0.0254591,0.338274,-4.78879e-20,-0.227424,-0.000238738,0.0974606,0.00066555,0.669752,-0.00188964,0.269171,0.144269,-0.397485,-0.0235694,0.069103,0.0743448,1.19366,-0.0727529,-0.10462,0,0.244946,0,0
0.028,-0.0378597,0.396164,0.0697818,0.339109,-0.0377674,-0.134727,0.0690712,0.338381,-9.46418e-20,-0.228187,-0.000234918,0.0973637,0.000573248,0.936108,-0.00117522,0.269802,-0.0383407,-1.07083,0.0702464,0.0685788,0.0744536,0.552246,0.0905358,-0.139373,0,0.263771,0,0
0.03,-0.0379078,0.565674,-0.00491789,0.339355,-0.0378601,0.376743,-0.00547889,0.339109,-9.46418e-20,-0.228187,-0.000234918,0.0973637,0.000525534,0.842447,-0.000614217,0.270048,-0.0383856,-0.465704,-0.00486467,0.0690612,0.0745227,0.568121,0.0901406,-0.139859,0,0.282593,0,0
0.032,-0.0379376,0.491853,-0.00449629,0.339278,-0.0379082,0.28308,-0.00491857,0.339356,-9.46418e-20,-0.228187,-0.000234918,0.0973637,0.000496083,0.74981,-0.000191933,0.26997,-0.0384043,-0.46673,-0.00472664,0.0693857,0.0745601,0.852547,0.0898394,-0.139988,0,0.30141,0,0
0.034,-0.0377569,0.500492,-0.0915117,0.339362,-0.037938,0.0814632,-0.098,0.33923,-5.51503e-19,-0.228566,-0.000233101,0.0973153,0.000677228,0.848237,0.00629813,0.270054,-0.0386152,-0.766774,-0.104298,0.0691765,0.0745757,0.64525,0.0896091,-0.140141,0,0.320223,0,0
