0.048,0.514434,11.1401,0.140327,-1.43822,0.514434,11.1401,0.140327,-1.43822,6.04244e-17,10.0525,-0.0663005,-1.47213,-0.00128023,10.8627,0.207317,-1.28115,0.515715,0.277372,-0.0669896,-0.157077
0.05,0.33182,11.2485,0.0833601,-1.5235,0.33182,11.2485,0.0833601,-1.5235,4.90268e-18,10.0523,-0.0662534,-1.47219,-0.00144207,10.5861,0.201286,-1.2799,0.333262,0.662428,-0.117926,-0.243603
0.052,0.116334,11.1672,0.00810105,-1.38706,0.116334,11.1672,0.00810105,-1.38706,4.90797e-18,10.0524,-0.0662534,-1.47211,0.00285855,10.6244,0.202761,-1.28108,0.113475,0.54276,-0.19466,-0.105982
0.054,0.0834647,11.0585,0.101607,-1.50646,0.0834647,11.0585,0.101607,-1.50646,4.90268e-18,10.0523,-0.0662534,-1.47219,0.00736658,10.653,0.203613,-1.28003,0.0760981,0.405483,-0.102007,-0.226429
0.056,0.697059,11.2485,-0.0671569,-1.47237,0.697059,11.2485,-0.0671569,-1.47237,4.90268e-18,10.0523,-0.0662534,-1.47219,-0.000205296,10.6744,0.204624,-1.27973,0.697264,0.574135,-0.271781,-0.192642
0.058,0.116339,11.0587,-0.0854479,-1.42118,0.116339,11.0587,-0.0854479,-1.42118,6.04244e-17,10.0525,-0.0663005,-1.47213,0.00305488,10.9309,0.21144,-1.28097,0.113284,0.127758,-0.296888,-0.140205
0.06,0.514446,11.1399,0.17687,-1.55759,0.514446,11.1399,0.17687,-1.55759,4.90268e-18,10.0523,-0.0662534,-1.47219,-0.00106736,10.6376,0.204431,-1.2797,0.515513,0.502374,-0.0275614,-0.277888
0.062,-0.0991446,11.0314,-0.0672012,-1.48944,-0.0991446,11.0314,-0.0672012,-1.48944,6.04191e-17,10.0524,-0.0663005,-1.47222,0.00630159,10.9054,0.211037,-1.27973,-0.105446,0.126064,-0.278238,-0.209708
0.064,0.697066,11.2215,-0.0854451,-1.48944,0.697066,11.2215,-0.0854451,-1.48944,6.04191e-17,10.0524,-0.0663005,-1.47222,-0.00142991,10.8617,0.210295,-1.27953,0.698496,0.359809,-0.29574,-0.209907
0.066,0.116347,11.2486,0.0833674,-1.48941,0.116347,11.2486,0.0833674,-1.48941,4.90268e-18,10.0523,-0.0662534,-1.47219,0.00202657,10.5853,0.203438,-1.27949,0.11432,0.663304,-0.120071,-0.209927
0.068,0.298965,11.1672,0.00806129,-1.43831,0.298965,11.1672,0.00806129,-1.43831,6.04191e-17,10.0524,-0.0663005,-1.47222,0.00191761,10.8674,0.210504,-1.27953,0.297048,0.299775,-0.202443,-0.158775
0.07,0.298967,11.2757,-0.0854883,-1.47237,0.298967,11.2757,-0.0854883,-1.47237,-5.06086e-17,10.0523,-0.0663461,-1.47219,0.00159475,10.5893,0.215987,-1.27962,0.297372,0.68637,-0.301476,-0.192748
0.072,0.514457,10.9771,-0.010182,-1.4724,0.514457,10.9771,-0.010182,-1.4724,6.04191e-17,10.0524,-0.0663005,-1.47222,-0.00260427,10.8706,0.207959,-1.27955,0.517061,0.106525,-0.218141,-0.192851
0.074,0.331842,11.2486,0.0833706,-1.47237,0.331842,11.2486,0.0833706,-1.47237,4.90268e-18,10.0523,-0.0662534,-1.47219,-0.00294645,10.592,0.201866,-1.27946,0.334789,0.656524,-0.118496,-0.192913
0.076,0.116356,11.0586,-0.0854403,-1.4724,0.116356,11.0586,-0.0854403,-1.4724,6.04191e-17,10.0524,-0.0663005,-1.47222,0.000798519,10.8727,0.209308,-1.27958,0.115558,0.18593,-0.294748,-0.192819
0.078,0.514463,11.1401,-0.0101797,-1.4724,0.514463,11.1401,-0.0101797,-1.4724,6.04191e-17,10.0524,-0.0663005,-1.47222,-0.0029413,10.837,0.208996,-1.27955,0.517404,0.303054,-0.219176,-0.192846
0.08,-0.0991276,11.3571,-0.0101775,-1.52348,-0.0991276,11.3571,-0.0101775,-1.52348,4.89724e-18,10.0522,-0.066299,-1.47217,0.00503711,10.3613,0.208529,-1.27978,-0.104165,0.995782,-0.218706,-0.243699
0.082,0.481595,10.9772,-0.0101783,-1.48944,0.481595,10.9772,-0.0101783,-1.48944,6.04191e-17,10.0524,-0.0663005,-1.47222,0.00180387,10.9158,0.208256,-1.27985,0.479791,0.0613217,-0.218434,-0.209595
0.084,0.29898,11.3573,-0.0102233,-1.38706,0.29898,11.3573,-0.0102233,-1.38706,4.90783e-18,10.0524,-0.0663461,-1.47211,0.00170582,10.6256,0.214403,-1.28121,0.297275,0.731642,-0.224626,-0.105851
0.086,0.298982,10.9772,-0.0101769,-1.50649,0.298982,10.9772,-0.0101769,-1.50649,6.04191e-17,10.0524,-0.0663005,-1.47222,0.0015263,10.8969,0.206574,-1.28013,0.297456,0.0802785,-0.216751,-0.226357
0.088,0.514472,11.1401,-0.0101763,-1.4724,0.514472,11.1401,-0.0101763,-1.4724,6.04191e-17,10.0524,-0.0663005,-1.47222,-0.00276175,10.8553,0.206948,-1.27988,0.517234,0.284796,-0.217124,-0.192516
0.09,0.331857,11.2486,0.0833763,-1.47237,0.331857,11.2486,0.0833763,-1.47237,4.90268e-18,10.0523,-0.0662534,-1.47219,-0.00315755,10.5808,0.201086,-1.27969,0.335015,0.667809,-0.11771,-0.19268
